Fecha;Rank;Artísta;Canción;Género;País;streams;
ene-22;1;Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile;Los Malvekes;;;1977673;
ene-22;2;Standly, El Barto;Mi Gata;;;1636458;
ene-22;3;Rauw Alejandro, Chencho Corleone;Desesperados;;;1606973;
ene-22;4;Tainy, Bad Bunny, Julieta Venegas;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);;;1430270;
ene-22;5;Marcianeke;Qué Pasa?;;;1346012;
ene-22;6;Bad Bunny;Yonaguni;;;1240229;
ene-22;7;Blessd, Justin Quiles, Lenny Tavárez;Medallo;;;1235969;
ene-22;8;Pailita, Marcianeke;Dimelo Ma;;;1109567;
ene-22;9;Boza, Lunay, Lenny Tavárez, Juhn, Beéle;Ella - Remix;;;1098992;
ene-22;10;Aventura, Bad Bunny;Volví;;;1057673;
ene-22;11;Bizarrap, Tiago PZK;Tiago PZK: Bzrp Music Sessions, Vol. 48;;;1052573;
ene-22;12;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;;;1015884;
ene-22;13;Anuel AA, Myke Towers, JHAYCO;Súbelo;;;989307;
ene-22;14;JHAYCO, Anuel AA;Ley Seca;;;976413;
ene-22;15;Rvssian, Rauw Alejandro, Chris Brown;Nostálgico;;;969817;
ene-22;16;Polimá Westcoast, Pablo Chill-E, Harry Nach, Galee Galee, ITHAN NY;MONEYMAN (feat. Galee Galee & ITHAN NY);;;919447;
ene-22;17;Farruko;Pepas;;;873690;
ene-22;18;Mora, Bad Bunny, Sech;Volando - Remix;;;831874;
ene-22;19;ITHAN NY, Marcianeke;Las Naik;;;812210;
ene-22;20;Young Cister;Casi Amor De Verano;;;802024;
ene-22;21;zzoilo, Aitana;Mon Amour - Remix;;;796062;
ene-22;22;Harry Nach, Marcianeke;¿Por Qué Te Enojái?;;;777697;
ene-22;23;Adan La Amenaza, Yohancito, Marcianeke, El BAI, Pailita, Yordano El Menor, Balbi El Chamako, Jairo Vera, King Savagge;Dele Cotele 3;;;747041;
ene-22;24;Bad Bunny, JHAYCO;DÁKITI;;;738255;
ene-22;25;Arte Elegante, Marcianeke;En las Malas y Buenas;;;722054;
ene-22;26;Tiago PZK, Trueno;Salimo de Noche;;;721424;
ene-22;27;Randy, Ape Drums;23 (With Ape Drums);;;711608;
ene-22;28;Tiago PZK, LIT killah;Entre Nosotros;;;688544;
ene-22;29;Polimá Westcoast, Pablo Chill-E, Arón Piper;Cu4tro;;;681270;
ene-22;30;TINI, L-Gante;Bar;;;679882;
ene-22;31;Maluma;Sobrio;;;677377;
ene-22;32;Cris Mj;Locura y Maldad;;;668956;
ene-22;33;Rauw Alejandro;Todo De Ti;;;659978;
ene-22;34;Trueno;DANCE CRIP;;;641118;
ene-22;35;Myke Towers;ALMAS GEMELAS;;;628172;
ene-22;36;Dímelo Flow, Dalex, Sech, Justin Quiles, Arcángel, De La Ghetto, Lenny Tavárez;Se Le Ve;;;608996;
ene-22;37;Nio Garcia, J Balvin, Bad Bunny;AM Remix;;;606596;
ene-22;38;Duki, Ak4:20, Juhn, Juanka;BICI;;;605299;
ene-22;39;J Balvin, Sech;Una Nota;;;605114;
ene-22;40;Nickoog Clk, Izahn, Standly;Mi Waxita;;;546095;
ene-22;41;Rauw Alejandro;Cúrame;;;544490;
ene-22;42;TINI, Maria Becerra;Miénteme;;;538356;
ene-22;43;Sech, JHAYCO;911 (Remix);;;529322;
ene-22;44;Drago200, Ak4:20;TOTA;;;524830;
ene-22;45;CKay, Dj Yo!, AX'EL;love nwantiti (feat. Dj Yo! & AX'EL) - Remix;;;517734;
ene-22;46;Wisin, JHAYCO, Ozuna, Los Legendarios;Emojis de Corazones (feat. Los Legendarios);;;511784;
ene-22;47;J Balvin, Maria Becerra;Qué Más Pues?;;;507526;
ene-22;48;Galee Galee, Harry Nach, Pablo Chill-E;Big Cut;;;507419;
ene-22;49;Imagine Dragons, JID, Arcane, League of Legends;Enemy (with JID) - from the series Arcane League of Legends;;;493175;
ene-22;50;Sebastian Yatra, Myke Towers;Pareja Del Año;;;487285;
ene-22;51;Farruko, Victor Cardenas, Dj Adoni;El Incomprendido;;;479959;
ene-22;52;Rauw Alejandro;Sexo Virtual;;;465884;
ene-22;53;KAROL G;SEJODIOTO;;;463485;
ene-22;54;Balbi El Chamako, Marcianeke, El BAI;Ponle;;;452982;
ene-22;55;Don Omar, Nio Garcia;Se Menea;;;438345;
ene-22;56;Bad Bunny;120;;;434536;
ene-22;57;Justin Quiles;Colorín Colorado;;;426981;
ene-22;58;Bad Bunny;A Tu Merced;;;424725;
ene-22;59;Marcianeke, Cris Mj;Tussi Code Mari;;;403195;
ene-22;60;Santaferia;Algún Día Volverás;;;402417;
ene-22;61;Dua Lipa;Don't Start Now;;;399808;
ene-22;62;Justin Quiles, Chimbala, Zion & Lennox;Loco;;;399499;
ene-22;63;Sebastian Yatra;Tacones Rojos;;;396367;
ene-22;64;Tiësto, KAROL G;Don't Be Shy;;;390255;
ene-22;65;Anuel AA;Dictadura;;;388765;
ene-22;66;Marcianeke;No Se Piken;;;386074;
ene-22;67;Bad Bunny, Daddy Yankee;La Santa;;;383208;
ene-22;68;Santaferia;EL Gil De Tu Ex;;;383002;
ene-22;69;Dua Lipa, DaBaby;Levitating (feat. DaBaby);;;380446;
ene-22;70;Cris Mj, Marcianeke;Bichiyal;;;375347;
ene-22;71;Pablo Alborán;Saturno;;;374118;
ene-22;72;Alvaro Diaz, Rauw Alejandro;Problemón;;;368766;
ene-22;73;Adele;Easy On Me;;;365503;
ene-22;74;Bad Bunny, ROSALÍA;LA NOCHE DE ANOCHE;;;363257;
ene-22;75;Rauw Alejandro, Mr. Naisgai;2/Catorce;;;363203;
ene-22;76;Natalia Lafourcade;Hasta la Raíz;;;362078;
ene-22;77;Pablito Pesadilla, Harry Nach, Marcianeke, Pablo Chill-E;Bella;;;361867;
ene-22;78;The Kid LAROI, Justin Bieber;STAY (with Justin Bieber);;;360283;
ene-22;79;Rafaga;Una Cerveza;;;359583;
ene-22;80;Pailita, Big Cvyu;Hooka;;;357780;
ene-22;81;Jay Wheeler, DJ Nelson, Myke Towers;La Curiosidad;;;357685;
ene-22;82;Mora, JHAYCO;512;;;356866;
ene-22;83;Wisin, JHAYCO, Anuel AA, Los Legendarios, Myke Towers;Fiel - Remix;;;356367;
ene-22;84;Noche de Brujas;Me Gusta Todo De Ti;;;355915;
ene-22;85;Doja Cat;Woman;;;355727;
ene-22;86;ROSALÍA, The Weeknd;LA FAMA;;;351305;
ene-22;87;Bad Bunny;Si Veo a Tu Mamá;;;344757;
ene-22;88;Sech, DJ Khaled;Borracho;;;344016;
ene-22;89;Ingratax;París;;;342392;
ene-22;90;J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander;Poblado - Remix;;;340278;
ene-22;91;Standly;Pégate;;;340039;
ene-22;92;Trueno;FEEL ME??;;;335610;
ene-22;93;Feid, KAROL G;FRIKI;;;327533;
ene-22;94;Marc Seguí, Rauw Alejandro, Pol Granch;Tiroteo - Remix;;;326777;
ene-22;95;Bayron Fire, Amara Ignacia;Complices;;;317410;
ene-22;96;Rauw Alejandro;Aquel Nap ZzZz;;;315028;
ene-22;97;JOSEPE EL DEMENTE, Sayian Jimmy;Morena Cachetona;;;310894;
ene-22;98;ACRAZE, Cherish;Do It To It;;;309261;
ene-22;99;JC Reyes, Camin;34 Amor y Mafia;;;307642;
ene-22;100;Jossef, Jamby El Favo, Eix;Persia - Remix;;;306781;
feb-22;1;Standly;Pégate;;;2457968;
feb-22;2;Rauw Alejandro, Chencho Corleone;Desesperados;;;2264267;
feb-22;3;Standly, El Barto;Mi Gata;;;1802936;
feb-22;4;Cris Mj;Una Noche en Medellín;;;1622479;
feb-22;5;Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile;Los Malvekes;;;1571907;
feb-22;6;Tainy, Bad Bunny, Julieta Venegas;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);;;1354479;
feb-22;7;JOSEPE EL DEMENTE, Sayian Jimmy;Morena Cachetona;;;1214319;
feb-22;8;Bad Bunny;Yonaguni;;;1209207;
feb-22;9;Blessd, Justin Quiles, Lenny Tavárez;Medallo;;;1134051;
feb-22;10;Boza, Lunay, Lenny Tavárez, Juhn, Beéle;Ella - Remix;;;1108567;
feb-22;11;Aventura, Bad Bunny;Volví;;;970267;
feb-22;12;Young Cister;Casi Amor De Verano;;;957034;
feb-22;13;Marcianeke;Qué Pasa?;;;945633;
feb-22;14;Polimá Westcoast, Pablo Chill-E, Harry Nach, Galee Galee, ITHAN NY;MONEYMAN (feat. Galee Galee & ITHAN NY);;;898217;
feb-22;15;Bizarrap, Tiago PZK;Tiago PZK: Bzrp Music Sessions, Vol. 48;;;887200;
feb-22;16;Anuel AA, Myke Towers, JHAYCO;Súbelo;;;884909;
feb-22;17;Rvssian, Rauw Alejandro, Chris Brown;Nostálgico;;;849953;
feb-22;18;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;;;849281;
feb-22;19;Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole;Entre Nosotros (Remix) [con Nicki Nicole];;;849266;
feb-22;20;El Barto, El Jordan 23, Standly, Drakomafia, Yong Bryel;Flaytiando;;;832219;
feb-22;21;El Jordan 23;Anti Rana;;;824218;
feb-22;22;JHAYCO, Anuel AA;Ley Seca;;;808282;
feb-22;23;Pailita, Marcianeke;Dimelo Ma;;;772878;
feb-22;24;Nickoog Clk, Izahn, Standly;Mi Waxita;;;761521;
feb-22;25;zzoilo, Aitana;Mon Amour - Remix;;;736125;
feb-22;26;Alvaro Diaz, Rauw Alejandro;Problemón;;;717144;
feb-22;27;Bad Bunny, JHAYCO;DÁKITI;;;710525;
feb-22;28;Mora, Bad Bunny, Sech;Volando - Remix;;;690582;
feb-22;29;Cris Mj;Locura y Maldad;;;663604;
feb-22;30;Tiago PZK, Trueno;Salimo de Noche;;;646222;
feb-22;31;TINI, L-Gante;Bar;;;632741;
feb-22;32;ITHAN NY, Marcianeke;Las Naik;;;620847;
feb-22;33;Adan La Amenaza, Yohancito, Marcianeke, El BAI, Pailita, Yordano El Menor, Balbi El Chamako, Jairo Vera, King Savagge;Dele Cotele 3;;;612389;
feb-22;34;Dímelo Flow, Dalex, Sech, Justin Quiles, Arcángel, De La Ghetto, Lenny Tavárez;Se Le Ve;;;596113;
feb-22;35;Arte Elegante, Marcianeke;En las Malas y Buenas;;;595506;
feb-22;36;Farruko;Pepas;;;594447;
feb-22;37;Drago200, Ak4:20;TOTA;;;570869;
feb-22;38;Bad Bunny;A Tu Merced;;;565582;
feb-22;39;Rauw Alejandro;Todo De Ti;;;560351;
feb-22;40;Harry Nach, Marcianeke;¿Por Qué Te Enojái?;;;560157;
feb-22;41;Nio Garcia, J Balvin, Bad Bunny;AM Remix;;;557352;
feb-22;42;Myke Towers;ALMAS GEMELAS;;;556234;
feb-22;43;Randy, Ape Drums;23 (With Ape Drums);;;554030;
feb-22;44;J Balvin, Sech;Una Nota;;;542366;
feb-22;45;Polimá Westcoast, Pablo Chill-E, Arón Piper;Cu4tro;;;539824;
feb-22;46;Pailita, Big Cvyu;Hooka;;;524825;
feb-22;47;Maluma;Sobrio;;;524495;
feb-22;48;Rauw Alejandro;Cúrame;;;486211;
feb-22;49;Sebastian Yatra;Tacones Rojos;;;480806;
feb-22;50;TINI, Maria Becerra;Miénteme;;;471786;
feb-22;51;Balbi El Chamako, Marcianeke, El BAI;Ponle;;;467655;
feb-22;52;Bad Bunny, Daddy Yankee;La Santa;;;453824;
feb-22;53;Bad Bunny;120;;;446154;
feb-22;54;KAROL G;SEJODIOTO;;;445643;
feb-22;55;Trueno;DANCE CRIP;;;428238;
feb-22;56;Imagine Dragons, JID, Arcane, League of Legends;Enemy (with JID) - from the series Arcane League of Legends;;;422666;
feb-22;57;Tiago PZK, LIT killah;Entre Nosotros;;;415505;
feb-22;58;J Balvin, Maria Becerra;Qué Más Pues?;;;412044;
feb-22;59;Sebastian Yatra, Myke Towers;Pareja Del Año;;;411599;
feb-22;60;Bad Bunny, Mora;Una Vez;;;406740;
feb-22;61;Galee Galee, Harry Nach, Pablo Chill-E;Big Cut;;;388314;
feb-22;62;Rauw Alejandro;Sexo Virtual;;;385320;
feb-22;63;Wisin, JHAYCO, Ozuna, Los Legendarios;Emojis de Corazones (feat. Los Legendarios);;;384077;
feb-22;64;Duki, Ak4:20, Juhn, Juanka;BICI;;;383566;
feb-22;65;Don Omar, Nio Garcia;Se Menea;;;380375;
feb-22;66;Bad Bunny, ROSALÍA;LA NOCHE DE ANOCHE;;;368790;
feb-22;67;Bad Bunny;Si Estuviésemos Juntos;;;362890;
feb-22;68;Justin Quiles;Colorín Colorado;;;361612;
feb-22;69;CKay, Dj Yo!, AX'EL;love nwantiti (feat. Dj Yo! & AX'EL) - Remix;;;361000;
feb-22;70;Bad Bunny;TE MUDASTE;;;358590;
feb-22;71;Pablo Alborán;Saturno;;;356947;
