Fecha;Medio;Posición;Artista + Canción;Género;Nacionalidad
ene-23;Radio;#¿NOMBRE?;Shakira: Bzrp Music Sessions, Vol. 53 por Bizarrap, Shakira;;
ene-23;Radio;#¿NOMBRE?;La Bachata por Manuel Turizo;;
ene-23;Radio;#¿NOMBRE?;Despechá por Rosalía;;
ene-23;Radio;#¿NOMBRE?;As It Was por Harry Styles;;
ene-23;Radio;#¿NOMBRE?;Quevedo: Bzrp Music Sessions, Vol. 52 por Bizarrap;;
ene-23;Radio;#¿NOMBRE?;Turandot: Nessun Dorma (Live) [G. Puccini] por Il Volo;;
ene-23;Radio;#¿NOMBRE?;Hey Mor Feat. Feid por Ozuna;;
ene-23;Radio;#¿NOMBRE?;Anti-Hero por Taylor Swift;;
ene-23;Radio;#¿NOMBRE?;Monotonía por Shakira Y Ozuna;;
ene-23;Radio;#¿NOMBRE?;Calm Down (With Selena Gomez) por Rema, Selena Gomez;;
ene-23;Radio;#¿NOMBRE?;Late Night Talking por Harry Styles;;
ene-23;Radio;#¿NOMBRE?;Ojitos Lindos por Bad Bunny, Bomba Estéreo;;
ene-23;Radio;#¿NOMBRE?;Hold Me Closer por Elton John & Britney Spears;;
ene-23;Radio;#¿NOMBRE?;About Damn Time por Lizzo;;
ene-23;Radio;#¿NOMBRE?;Aeropuerto por Camilo;;
ene-23;Radio;#¿NOMBRE?;Tití Me Preguntó por Bad Bunny;;
ene-23;Radio;#¿NOMBRE?;ULTRA SOLO Remix por Polimá Westcoast, Pailita, Feid, Paloma Mami, De La;;
ene-23;Radio;#¿NOMBRE?;Amigos (Con María Becerra) por Pablo Alborán;;
ene-23;Radio;#¿NOMBRE?;Cold Heart (PNAU Remix) por Elton John, Dua Lipa;;
ene-23;Radio;#¿NOMBRE?;Tren Al Sur por Los Prisioneros;;
ene-23;Radio;#¿NOMBRE?;Playa Del Ingles por Quevedo, Myke Towers;;
ene-23;Radio;#¿NOMBRE?;Te Felicito por Shakira & Rauw Alejandro;;
ene-23;Radio;#¿NOMBRE?;Would I Lie To You? por Charles & Eddie;;
ene-23;Radio;#¿NOMBRE?;Blinding Lights por The Weeknd;;
ene-23;Radio;#¿NOMBRE?;2 Be Loved (Am I Ready) por Lizzo;;
ene-23;Radio;#¿NOMBRE?;Que Te Vaya Bien por Santa Feria Ft Zumbale Primo;;
ene-23;Radio;#¿NOMBRE?;Junio por Maluma;;
ene-23;Radio;#¿NOMBRE?;Tacones Rojos por Sebastián Yatra;;
ene-23;Radio;#¿NOMBRE?;Flowers por Miley Cyrus;;
ene-23;Radio;#¿NOMBRE?;Watermelon Sugar por Harry Styles;;
ene-23;Radio;#¿NOMBRE?;Stay With Me por Calvin Harris, Justin Timberlake, Halsey & Pharrell Williams;;
ene-23;Radio;#¿NOMBRE?;Ganas por Young Cister;;
ene-23;Radio;#¿NOMBRE?;Lucha En Equilibrio por Denise Rosenthal;;
ene-23;Radio;#¿NOMBRE?;CUFF IT por Beyoncé;;
ene-23;Radio;#¿NOMBRE?;La Terapia por Young Cister;;
ene-23;Radio;#¿NOMBRE?;Síntomas De Soltera por Paloma Mami, Pailita & El Jordan 23;;
ene-23;Radio;#¿NOMBRE?;Tu Falta De Querer por Mon Laferte;;
ene-23;Radio;#¿NOMBRE?;Punto 40 por Rauw Alejandro;;
ene-23;Radio;#¿NOMBRE?;Como Tu Y Yo por Chayanne;;
ene-23;Radio;#¿NOMBRE?;Perreo Pa Los Flaites por Xian;;
ene-23;Radio;#¿NOMBRE?;Hoy por Nicole;;
ene-23;Radio;#¿NOMBRE?;No Te Enamores por Paloma Mami;;
ene-23;Radio;#¿NOMBRE?;Gatita por Bellakath;;
ene-23;Radio;#¿NOMBRE?;Cumbia Cumbia Cumbia por Los Vasquez;;
ene-23;Radio;#¿NOMBRE?;Amárrame Feat. Juanes por Mon Laferte;;
ene-23;Radio;#¿NOMBRE?;Fiera por Cris Mj, Tiago Pzk;;
ene-23;Radio;#¿NOMBRE?;Corazones Rotos por Lola Indigo, Luis Fonsi;;
ene-23;Radio;#¿NOMBRE?;Na Na Na por Pailita, Big Cvyu;;
ene-23;Radio;#¿NOMBRE?;Pegao por Camilo;;
ene-23;Radio;#¿NOMBRE?;Yo No Fui por Pedro Fernandes;;
ene-23;Radio;#¿NOMBRE?;Shape Of You por Ed Sheeran;;
ene-23;Radio;#¿NOMBRE?;Bad Habits por Ed Sheeran;;
ene-23;Radio;#¿NOMBRE?;LACONE por Polimá Westcoast, Quevedo, Mora;;
ene-23;Radio;#¿NOMBRE?;BABY OTAKU Feat. Fran C por Pablo Pesadilla, Polimá Westcoast, Nickoog BZR MUSIC;;
ene-23;Radio;#¿NOMBRE?;Centenas De Miles De Años por Denise Rosenthal;;
ene-23;Radio;#¿NOMBRE?;Leave The Door Open por Bruno Mars, Anderson .Paak, Silk Sonic;;
ene-23;Radio;#¿NOMBRE?;LEVITATING por Dua Lipa;;
ene-23;Radio;#¿NOMBRE?;Love Again por Dua Lipa;;
ene-23;Radio;#¿NOMBRE?;Baladas Románticas Para Trabajar por Dj Baladas Romanticas;;
ene-23;Radio;#¿NOMBRE?;Echame La Culpa por Luis Fonsi Feat. Demi Lovato;;
ene-23;Radio;#¿NOMBRE?;Amores Prohibidos por Juanes;;
ene-23;Radio;#¿NOMBRE?;Otra Noche por Reggaeton Boys;;
ene-23;Radio;#¿NOMBRE?;I´M Good (Blue) por David Guetta, Bebe Rexha;;
ene-23;Radio;#¿NOMBRE?;Todo De Ti por Rauw Alejandro;;
ene-23;Radio;#¿NOMBRE?;Ulala por Daddy Yankee, Myke Towers;;
ene-23;Radio;#¿NOMBRE?;Don't Start Now por Dua Lipa;;
ene-23;Radio;#¿NOMBRE?;Frío por Nicki Nicole;;
ene-23;Radio;#¿NOMBRE?;Dance Monkey por Tones And I;;
ene-23;Radio;#¿NOMBRE?;Ojalá por The Rudeboyz, Maluma & Adam Levine;;
ene-23;Radio;#¿NOMBRE?;Marisola por Stars Music Chile, Cris Mj, Standly;;
ene-23;Radio;#¿NOMBRE?;Pepas por Farruko;;
ene-23;Radio;#¿NOMBRE?;Mon Amour (Remix) por Zzoilo, Aitana;;
ene-23;Radio;#¿NOMBRE?;Cairo por Karol G, Ovy On The Drums;;
ene-23;Radio;#¿NOMBRE?;Left And Right por Charlie Puth (Ft. Jungkook Of Bts);;
ene-23;Radio;#¿NOMBRE?;La Torre De Babel por Los Tres;;
ene-23;Radio;#¿NOMBRE?;RUMBATON por Daddy Yankee;;
ene-23;Radio;#¿NOMBRE?;Happy por Pharrell Williams;;
ene-23;Radio;#¿NOMBRE?;Parcera por Pailita;;
ene-23;Radio;#¿NOMBRE?;Fingías por Paloma Mami;;
ene-23;Radio;#¿NOMBRE?;Marisola Feat. Standly, Stars Music Chile (Remix) por Cris Mj, DUNIVERSAL MUSIC GROUP;;
ene-23;Radio;#¿NOMBRE?;La Gozadera por Gente De Zona Feat. Marc Anthony;;
ene-23;Radio;#¿NOMBRE?;Wayo por Zion & Lennox;;
ene-23;Radio;#¿NOMBRE?;CHAO BEBE por Ovy On The Drums, Ozuna;;
ene-23;Radio;#¿NOMBRE?;Mentirosa por Ráfaga;;
ene-23;Radio;#¿NOMBRE?;Young Hearts Run Free por Kim Mazelle;;
ene-23;Radio;#¿NOMBRE?;Besos Moja2 por Wisin & Yandel, Rosalía;;
ene-23;Radio;#¿NOMBRE?;YA NO SOY TU BABY por Princesa Alba;;
ene-23;Radio;#¿NOMBRE?;CAN'T STOP THE FEELING! (Original Song From DreamworkSONY MUSIC ENTERTAINMENT;;
ene-23;Radio;#¿NOMBRE?;One Kiss por Calvin Harris Feat Dua Lipa;;
ene-23;Radio;#¿NOMBRE?;Oyeme por Noche De Brujas;;
ene-23;Radio;#¿NOMBRE?;Easy On Me por Adele;;
ene-23;Radio;#¿NOMBRE?;Save Your Tears (With Ariana Grande) (Remix) por The Weeknd, UNIVERSAL MUSIC GROUP;;
ene-23;Radio;#¿NOMBRE?;Bailando Solo por Los Bunkers;;
ene-23;Radio;#¿NOMBRE?;HAS SANADO MI VIDA VERSION BACHATA por Mario Guerrero;;
ene-23;Radio;#¿NOMBRE?;Just The Way You Are por Bruno Mars;;
ene-23;Radio;#¿NOMBRE?;Rica por Drefquila, Red Fingers;;
ene-23;Radio;#¿NOMBRE?;Un Millón Como Tú por Lasso, Cami;;
ene-23;Radio;#¿NOMBRE?;Indigo por Camilo & Evaluna Montaner;;
ene-23;Radio;#¿NOMBRE?;Algún Día Volverás por Santaferia;;
ene-23;Radio;#¿NOMBRE?;Makes Me Wonder por Maroon 5;;
feb-23;Radio;#¿NOMBRE?;Shakira: Bzrp Music Sessions, Vol. 53 por Bizarrap, Shakira;;
feb-23;Radio;#¿NOMBRE?;La Bachata por Manuel Turizo;;
feb-23;Radio;#¿NOMBRE?;Flowers por Miley Cyrus;;
feb-23;Radio;#¿NOMBRE?;Despechá por Rosalía;;
feb-23;Radio;#¿NOMBRE?;As It Was por Harry Styles;;
feb-23;Radio;#¿NOMBRE?;PROVENZA por Karol G;;
feb-23;Radio;#¿NOMBRE?;Quevedo: Bzrp Music Sessions, Vol. 52 por Bizarrap;;
feb-23;Radio;#¿NOMBRE?;Calm Down (With Selena Gomez) por Rema, Selena Gomez;;
feb-23;Radio;#¿NOMBRE?;Late Night Talking por Harry Styles;;
feb-23;Radio;#¿NOMBRE?;Ojitos Lindos por Bad Bunny, Bomba Estéreo;;
feb-23;Radio;#¿NOMBRE?;X SI VOLVEMOS por Karol G Ft. Romeo Santos;;
feb-23;Radio;#¿NOMBRE?;Anti-Hero por Taylor Swift;;
feb-23;Radio;#¿NOMBRE?;Frío por Nicki Nicole;;
feb-23;Radio;#¿NOMBRE?;La Jumpa por Arcangel, Bad Bunny;;
feb-23;Radio;#¿NOMBRE?;Hey Mor Feat. Feid por Ozuna;;
feb-23;Radio;#¿NOMBRE?;CUFF IT por Beyoncé;;
feb-23;Radio;#¿NOMBRE?;PANTIES Y BRASIERES por Rauw Alejandro & Daddy Yankee;;
feb-23;Radio;#¿NOMBRE?;About Damn Time por Lizzo;;
feb-23;Radio;#¿NOMBRE?;Cold Heart (PNAU Remix) por Elton John, Dua Lipa;;
feb-23;Radio;#¿NOMBRE?;Playa Del Ingles por Quevedo, Myke Towers;;
feb-23;Radio;#¿NOMBRE?;Aeropuerto por Camilo;;
feb-23;Radio;#¿NOMBRE?;Monotonía por Shakira Y Ozuna;;
feb-23;Radio;#¿NOMBRE?;Blinding Lights por The Weeknd;;
feb-23;Radio;#¿NOMBRE?;Centenas De Miles De Años por Denise Rosenthal;;
feb-23;Radio;#¿NOMBRE?;No Te Enamores por Paloma Mami;;
feb-23;Radio;#¿NOMBRE?;Tití Me Preguntó por Bad Bunny;;
feb-23;Radio;#¿NOMBRE?;Amigos (Con María Becerra) por Pablo Alborán;;
feb-23;Radio;#¿NOMBRE?;2 Be Loved (Am I Ready) por Lizzo;;
feb-23;Radio;#¿NOMBRE?;Que Te Vaya Bien por Santa Feria Ft Zumbale Primo;;
feb-23;Radio;#¿NOMBRE?;LLYLM por Rosalía;;
feb-23;Radio;#¿NOMBRE?;Síntomas De Soltera por Paloma Mami, Pailita & El Jordan 23;;
feb-23;Radio;#¿NOMBRE?;LACONE por Polimá Westcoast, Quevedo, Mora;;
feb-23;Radio;#¿NOMBRE?;La Terapia por Young Cister;;
feb-23;Radio;#¿NOMBRE?;ULTRA SOLO Remix por Polimá Westcoast, Pailita, Feid, Paloma Mami, De La;;
feb-23;Radio;#¿NOMBRE?;Watermelon Sugar por Harry Styles;;
feb-23;Radio;#¿NOMBRE?;Ganas por Young Cister;;
feb-23;Radio;#¿NOMBRE?;Hoy por Nicole;;
feb-23;Radio;#¿NOMBRE?;Bad Habits por Ed Sheeran;;
feb-23;Radio;#¿NOMBRE?;Cumbia Cumbia Cumbia por Los Vasquez;;
feb-23;Radio;#¿NOMBRE?;BABY OTAKU Feat. Fran C por Pablo Pesadilla, Polimá Westcoast, Nickoog;;
feb-23;Radio;#¿NOMBRE?;Hold Me Closer por Elton John & Britney Spears;;
feb-23;Radio;#¿NOMBRE?;Propuesta Indecente por Romeo Santos;;
feb-23;Radio;#¿NOMBRE?;La Fórmula por Maluma & Marc Anthony;;
feb-23;Radio;#¿NOMBRE?;Pegao por Camilo;;
feb-23;Radio;#¿NOMBRE?;Tacones Rojos por Sebastián Yatra;;
feb-23;Radio;#¿NOMBRE?;Baladas Románticas Para Trabajar por Dj Baladas Romanticas;;
feb-23;Radio;#¿NOMBRE?;Love Again por Dua Lipa;;
feb-23;Radio;#¿NOMBRE?;Leave The Door Open por Bruno Mars, Anderson .Paak, Silk Sonic;;
feb-23;Radio;#¿NOMBRE?;Junio por Maluma;;
feb-23;Radio;#¿NOMBRE?;Te Felicito por Shakira & Rauw Alejandro;;
feb-23;Radio;#¿NOMBRE?;Indigo por Camilo & Evaluna Montaner;;
feb-23;Radio;#¿NOMBRE?;Ambulancia por Camilo & Camila Cabello;;
feb-23;Radio;#¿NOMBRE?;Marisola por Stars Music Chile, Cris Mj, Standly;;
feb-23;Radio;#¿NOMBRE?;Miénteme Una Vez por Los Vasquez;;
feb-23;Radio;#¿NOMBRE?;Punto 40 por Rauw Alejandro;;
feb-23;Radio;#¿NOMBRE?;TUSA por Karol G, Nicki Minaj;;
feb-23;Radio;#¿NOMBRE?;Eres Mia por Romeo Santos;;
feb-23;Radio;#¿NOMBRE?;Underground por Emilia;;
feb-23;Radio;#¿NOMBRE?;Na Na Na por Pailita, Big Cvyu;;
feb-23;Radio;#¿NOMBRE?;Tu Falta De Querer por Mon Laferte;;
feb-23;Radio;#¿NOMBRE?;Pepas por Farruko;;
feb-23;Radio;#¿NOMBRE?;Fiera por Cris Mj, Tiago Pzk;;
feb-23;Radio;#¿NOMBRE?;Happy por Pharrell Williams;;
feb-23;Radio;#¿NOMBRE?;Amárrame Feat. Juanes por Mon Laferte;;
feb-23;Radio;#¿NOMBRE?;Amor Completo por Mon Laferte;;
feb-23;Radio;#¿NOMBRE?;CAN'T STOP THE FEELING! (Original Song From DreamworkSONY MUSIC ENTERTAINMENT;;
feb-23;Radio;#¿NOMBRE?;ULTRA SOLO por Polimá Westcoast & Pailita;;
feb-23;Radio;#¿NOMBRE?;Don't Start Now por Dua Lipa;;
feb-23;Radio;#¿NOMBRE?;Fingías por Paloma Mami;;
feb-23;Radio;#¿NOMBRE?;Mienteme por Tini & Maria Becerra;;
feb-23;Radio;#¿NOMBRE?;Todo De Ti por Rauw Alejandro;;
feb-23;Radio;#¿NOMBRE?;I´M Good (Blue) por David Guetta, Bebe Rexha;;
feb-23;Radio;#¿NOMBRE?;Dance Monkey por Tones And I;;
feb-23;Radio;#¿NOMBRE?;Ulala por Daddy Yankee, Myke Towers;;
feb-23;Radio;#¿NOMBRE?;Imposible por Luis Fonsi, Ozuna;;
feb-23;Radio;#¿NOMBRE?;Shape Of You por Ed Sheeran;;
feb-23;Radio;#¿NOMBRE?;LEVITATING por Dua Lipa;;
feb-23;Radio;#¿NOMBRE?;Stay With Me por Calvin Harris, Justin Timberlake, Halsey & Pharrell Williams;;
feb-23;Radio;#¿NOMBRE?;Mon Amour (Remix) por Zzoilo, Aitana;;
feb-23;Radio;#¿NOMBRE?;Easy On Me por Adele;;
feb-23;Radio;#¿NOMBRE?;Get Lucky Feat. Pharrell Williams por Daft Punk;;
feb-23;Radio;#¿NOMBRE?;Miss You por Oliver Tree;;
feb-23;Radio;#¿NOMBRE?;Perreo Pa Los Flaites por Xian;;
feb-23;Radio;#¿NOMBRE?;Otra Noche por Reggaeton Boys;;
feb-23;Radio;#¿NOMBRE?;Africa por Toto;;
feb-23;Radio;#¿NOMBRE?;To' Los Dias por Remers & Javiielo;;
feb-23;Radio;#¿NOMBRE?;Cairo por Karol G, Ovy On The Drums;;
feb-23;Radio;#¿NOMBRE?;CHAO BEBE por Ovy On The Drums, Ozuna;;
feb-23;Radio;#¿NOMBRE?;DEBI LLEVARTE FLORES por Young Cister, Taiko;;
feb-23;Radio;#¿NOMBRE?;Besos Moja2 por Wisin & Yandel, Rosalía;;
feb-23;Radio;#¿NOMBRE?;El Condor Pasa por Grupo Quetzal;;
feb-23;Radio;#¿NOMBRE?;Wayo por Zion & Lennox;;
feb-23;Radio;#¿NOMBRE?;RUMBATON por Daddy Yankee;;
feb-23;Radio;#¿NOMBRE?;YA NO SOY TU BABY por Princesa Alba;;
feb-23;Radio;#¿NOMBRE?;Loco Feat. Romeo Santos por Enrique Iglesias;;
feb-23;Radio;#¿NOMBRE?;Cuando Nadie Ve por Morat;;
feb-23;Radio;#¿NOMBRE?;5 Dias por Grupo Zumbale Primo;;
feb-23;Radio;#¿NOMBRE?;Sube A Nacer Conmigo Hermano por Los Jaivas;;
feb-23;Radio;#¿NOMBRE?;Vida De Rico por Camilo;;
feb-23;Radio;#¿NOMBRE?;Algún Día Volverás por Santaferia;;
mar-23;Radio;#¿NOMBRE?;Shakira: Bzrp Music Sessions, Vol. 53 por Bizarrap, Shakira;;
mar-23;Radio;#¿NOMBRE?;Flowers por Cyrus, Miley;;
mar-23;Radio;#¿NOMBRE?;La Bachata por Manuel Turizo;;
mar-23;Radio;#¿NOMBRE?;Despechá por Rosalía;;
mar-23;Radio;#¿NOMBRE?;TQG por Karol G, Shakira;;
mar-23;Radio;#¿NOMBRE?;X SI VOLVEMOS por Karol G Ft. Romeo Santos;;
mar-23;Radio;#¿NOMBRE?;Hey Mor Feat. Feid por Ozuna;;
mar-23;Radio;#¿NOMBRE?;Anti-Hero por Taylor Swift;;
mar-23;Radio;#¿NOMBRE?;LLYLM por Rosalía;;
mar-23;Radio;#¿NOMBRE?;Late Night Talking por Harry Styles;;
mar-23;Radio;#¿NOMBRE?;Cupido por Tini;;
mar-23;Radio;#¿NOMBRE?;Calm Down (With Selena Gomez) por Rema, Selena Gomez;;
mar-23;Radio;#¿NOMBRE?;PANTIES Y BRASIERES por Rauw Alejandro & Daddy Yankee;;
mar-23;Radio;#¿NOMBRE?;Tormenta (Feat. Bad Bunny) por Gorillaz;;
mar-23;Radio;#¿NOMBRE?;Playa Del Ingles por Quevedo, Myke Towers;;
mar-23;Radio;#¿NOMBRE?;Cold Heart (PNAU Remix) por Elton John, Dua Lipa;;
mar-23;Radio;#¿NOMBRE?;PROVENZA por Karol G;;
mar-23;Radio;#¿NOMBRE?;Propuesta Indecente por Romeo Santos;;
mar-23;Radio;#¿NOMBRE?;Ojitos Lindos por Bad Bunny, Bomba Estéreo;;
mar-23;Radio;#¿NOMBRE?;CUFF IT por Beyoncé;;
mar-23;Radio;#¿NOMBRE?;La Terapia por Young Cister;;
mar-23;Radio;#¿NOMBRE?;About Damn Time por Lizzo;;
mar-23;Radio;#¿NOMBRE?;Me Rehuso por Danny Ocean;;
mar-23;Radio;#¿NOMBRE?;Centenas De Miles De Años por Denise Rosenthal;;
mar-23;Radio;#¿NOMBRE?;La Fórmula por Maluma & Marc Anthony;;
mar-23;Radio;#¿NOMBRE?;Blinding Lights por The Weeknd;;
mar-23;Radio;#¿NOMBRE?;Tití Me Preguntó por Bad Bunny;;
mar-23;Radio;#¿NOMBRE?;LACONE por Polimá Westcoast, Quevedo, Mora;;
mar-23;Radio;#¿NOMBRE?;TQG (Ultraman Remix) por Karol G, Shakira;;
mar-23;Radio;#¿NOMBRE?;MERCHO por Lil Cake & Migrantes Feat. Nico Valdi;;
mar-23;Radio;#¿NOMBRE?;Frío por Nicki Nicole;;
mar-23;Radio;#¿NOMBRE?;Underground por Emilia;;
mar-23;Radio;#¿NOMBRE?;To' Los Dias por Remers & Javiielo;;
mar-23;Radio;#¿NOMBRE?;La Jumpa por Arcangel, Bad Bunny;;
mar-23;Radio;#¿NOMBRE?;Tacones Rojos por Sebastián Yatra;;
mar-23;Radio;#¿NOMBRE?;Rey por Los Bunkers;;
