Fecha;Medio;Posición;Artista;Canción;Género;Nacionalidad
ene-23;Spotify;#¿NOMBRE?;Bizarrap, Shakira;Shakira: Bzrp Music Sessions, Vol. 53;;
ene-23;Spotify;#¿NOMBRE?;Pailita, Cris Mj, Young Cister;Llámame Bebé;;
ene-23;Spotify;#¿NOMBRE?;Yandel, Feid;Yandel 150;;
ene-23;Spotify;#¿NOMBRE?;Ozuna, Feid;Hey Mor;;
ene-23;Spotify;#¿NOMBRE?;Miley Cyrus;Flowers;;
ene-23;Spotify;#¿NOMBRE?;Manuel Turizo;La Bachata;;
ene-23;Spotify;#¿NOMBRE?;Jere Klein, Lucky Brown;Mandame Tu Ubi;;
ene-23;Spotify;#¿NOMBRE?;Arcángel, Bad Bunny;La Jumpa;;
ene-23;Spotify;#¿NOMBRE?;Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile;Marisola - Remix;;
ene-23;Spotify;#¿NOMBRE?;Harry Nach, Cris Mj, Pablo Chill-E, Polimá Westcoast, Aqua VS, Tom fomt, Kreamly, Nikxz;LOKOTRON REMIX;;
ene-23;Spotify;#¿NOMBRE?;Marcianeke, Jere Klein, Gold Music;Muñeca;;
ene-23;Spotify;#¿NOMBRE?;Ñengo Flow, Bad Bunny;Gato de Noche;;
ene-23;Spotify;#¿NOMBRE?;Balbi El Chamako, Jere Klein;Ese Corte;;
ene-23;Spotify;#¿NOMBRE?;Quevedo;PUNTO G;;
ene-23;Spotify;#¿NOMBRE?;Feid;Feliz Cumpleaños Ferxxo;;
ene-23;Spotify;#¿NOMBRE?;Bizarrap, Quevedo;Quevedo: Bzrp Music Sessions, Vol. 52;;
ene-23;Spotify;#¿NOMBRE?;Cris Mj, Pablo Chill-E;Como Tu Ninguna - Remix;;
ene-23;Spotify;#¿NOMBRE?;King Savagge, Ak4:20, Paloma Mami;NOPALATELE;;
ene-23;Spotify;#¿NOMBRE?;Pailita;Parcera;;
ene-23;Spotify;#¿NOMBRE?;Young Cister, Taiko;DEBI LLEVARTE FLORES;;
ene-23;Spotify;#¿NOMBRE?;Quevedo;VISTA AL MAR;;
ene-23;Spotify;#¿NOMBRE?;Jere Klein, ITHAN NY;Los Diablotes;;
ene-23;Spotify;#¿NOMBRE?;Feid;CHORRITO PA LAS ANIMAS;;
