rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3E8xyYdIPpiH2wNEozE68I","Standly","Pégate","Standly",1,1,6,"2293851"
2,"spotify:track:6mmPpaltUZK7xjNlBPQQ0p","Rauw Alejandro, Chencho Corleone","Desesperados","Sony Music Latin/Duars Entertainment",2,2,9,"2242649"
3,"spotify:track:1O2pcBJGej0pmH2Y9XZMs6","Cris Mj","Una Noche en Medellín","Sonar LLC.",3,4,3,"1804295"
4,"spotify:track:6J8lLpZoRCmB5pTrnB5jpV","Standly, El Barto","Mi Gata","Standly",1,3,11,"1629822"
5,"spotify:track:1AnJQd8TfkhK6M3VgZDVv1","Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile","Los Malvekes","Virgin Music Chile",1,5,15,"1510510"
6,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",1,6,19,"1406343"
7,"spotify:track:124RKptoEHiglKOeXdcPAc","JOSEPE EL DEMENTE, Sayian Jimmy","Morena Cachetona","Josepe el demente",7,7,6,"1230765"
8,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",1,8,36,"1225828"
9,"spotify:track:6lX6l7OuA3qrnIRfdsr0dw","Blessd, Justin Quiles, Lenny Tavárez","Medallo","WEA Latina",3,9,15,"1136157"
10,"spotify:track:7iHHlCbsFou5DZSW5HCPfs","Boza, Lunay, Lenny Tavárez, Juhn, Beéle","Ella - Remix","Sony Music Latin",8,10,15,"1120687"
11,"spotify:track:1Zjdt705TM2Hr26YDKgnyc","El Jordan 23","Anti Rana","jordan 23",11,21,3,"1025788"
12,"spotify:track:7ccoyhNAr3OY5IQsvpQnck","El Barto, El Jordan 23, Standly, Drakomafia, Yong Bryel","Flaytiando","El Barto Chile",12,20,6,"968813"
13,"spotify:track:3HSVuIkPGY4rdtifvEU3xz","Young Cister","Casi Amor De Verano","Sony Music Entertainment Chile S.A",5,12,7,"928295"
14,"spotify:track:2vmfvSoZBFAt9hhRoEByLi","Aventura, Bad Bunny","Volví","Rimas Entertainment LLC",1,11,28,"916081"
15,"spotify:track:2Gq636OOGgxCTqEuzCZhsa","Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48","DALE PLAY Records",11,15,7,"898399"
16,"spotify:track:5u0EnFzLd5WmsncTG5uMSP","Marcianeke","Qué Pasa?","EL VALLE DE LOS REYES",3,13,15,"879276"
17,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",11,18,24,"845428"
18,"spotify:track:40xJTwBKb5x3wjlLOeycaL","Polimá Westcoast, Pablo Chill-E, Harry Nach, Galee Galee, ITHAN NY","MONEYMAN (feat. Galee Galee & ITHAN NY)","Sony Music Entertainment Chile S.A",9,14,10,"839436"
19,"spotify:track:2BEcap3xJtmiPaHKyfQi4e","Rvssian, Rauw Alejandro, Chris Brown","Nostálgico","Sony Music Latin",4,17,22,"832120"
20,"spotify:track:3xv8JksRyqHa1lwkM9xvJf","Anuel AA, Myke Towers, JHAYCO","Súbelo","Real Hasta La Muerte, LLC",6,16,12,"815049"
21,"spotify:track:1mSviQV9iQnGSRyvTIuxAj","Alvaro Diaz, Rauw Alejandro","Problemón","UMG Recordings, Inc./Universal Music Latino",21,26,8,"793313"
22,"spotify:track:4TGwERXRlyQtBdggYTHo6j","Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole","Entre Nosotros (Remix) [con Nicki Nicole]","WEA Latina",8,19,6,"777155"
23,"spotify:track:3JCaq3KDSROg3TXhdiDa9n","JHAYCO, Anuel AA","Ley Seca","N&E Entertainment LLC",1,22,23,"765633"
24,"spotify:track:1j1itFzuIbndSf6lW8L1Kx","Pailita, Marcianeke","Dimelo Ma","2024 Rimas Entertainment México S.A. de C.V",2,23,40,"755238"
25,"spotify:track:5W1qmxHrMlQGGAiFA3ZQqP","Dímelo Flow, Dalex, Sech, Justin Quiles, Arcángel, De La Ghetto, Lenny Tavárez","Se Le Ve","Rich Music",25,34,24,"753602"
26,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, JHAYCO","DÁKITI","Rimas Entertainment LLC",1,27,67,"743560"
27,"spotify:track:0PKHOIZYG7tszv17tgIZlZ","Marcianeke","Waka Waka","EL VALLE DE LOS REYES",27,172,2,"737731"
28,"spotify:track:5TMLavqGRKNxgzMBrVpC9R","zzoilo, Aitana","Mon Amour - Remix","Universal Music Spain S.L.",17,25,20,"722911"
29,"spotify:track:6phCM48H3WCQfy7MCYwy0A","Nickoog Clk, Izahn, Standly","Mi Waxita","2328277 Records DK",24,24,10,"709948"
30,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",3,28,31,"683856"
31,"spotify:track:2dG8CDU9UBem2ReYcLafDt","Cris Mj","Locura y Maldad","Sonar LLC.",20,29,17,"682862"
32,"spotify:track:0wDjuXaTy4MVdFOy65Gz9H","Young Cister, Duki","DOLCE","Sony Music Entertainment Chile S.A",32,-1,1,"643801"
33,"spotify:track:6P096SaOzrgGxs8NWOfX7M","Tiago PZK, Trueno","Salimo de Noche","WM Chile",17,30,16,"621890"
34,"spotify:track:6wwejszmDZkyd00IMSJ1Ob","Arte Elegante, Marcianeke","En las Malas y Buenas","ARTE ELEGANTE",16,35,23,"616954"
35,"spotify:track:4r9jkMEnArtWGH2rL2FZl0","Bad Bunny","A Tu Merced","Rimas Entertainment LLC",10,38,102,"616467"
36,"spotify:track:3PNBBs7345WBTSAxhE0q3a","Adan La Amenaza, Yohancito, Marcianeke, El BAI, Pailita, Yordano El Menor, Balbi El Chamako, Jairo Vera, King Savagge","Dele Cotele 3","Adan La Amenaza | Eyey Networks",18,33,12,"605744"
37,"spotify:track:0lJE8f0lx8mUSfMyxeYpiC","TINI, L-Gante","Bar","Sony Music Latin",26,31,13,"598030"
38,"spotify:track:5vmYLoozbUNwcdVL2m3lHq","ITHAN NY, Marcianeke","Las Naik","ITHAN NY",12,32,24,"593631"
39,"spotify:track:6YzLykAZTro3znbspER5Cd","Drago200, Ak4:20","TOTA","Nabru Records LLC",32,37,22,"590033"
40,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",1,36,32,"586873"
41,"spotify:track:0Bv7O6fmZk3GrNQFYJaXPn","La Pantera, Quevedo, Juseph, ABHIR, BEJO, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",41,-1,1,"586190"
42,"spotify:track:3rdAz1fbUfZxYgaCviYhRo","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",1,39,38,"566165"
43,"spotify:track:2KcNrONbZ0hvBPjvrDO2tx","Myke Towers","ALMAS GEMELAS","WEA Latina",8,42,29,"558061"
44,"spotify:track:05bfbizlM5AX6Mf1RRyMho","Nio Garcia, J Balvin, Bad Bunny","AM Remix","Flow La Movie",2,41,33,"554006"
45,"spotify:track:6mLg5bAhcSrVnc0yPsS7Jy","Harry Nach, Marcianeke","¿Por Qué Te Enojái?","Only Perk",9,40,19,"540203"
46,"spotify:track:7iqOIHHEmu6Vhw25GgQ2eA","J Balvin, Sech","Una Nota","Sueños Globales, LLC",8,44,22,"533783"
47,"spotify:track:68V31zQa7VOH4P99PMeBna","Polimá Westcoast, Pablo Chill-E, Arón Piper","Cu4tro","Sony Music Entertainment Chile S.A",4,45,23,"533319"
48,"spotify:track:69vlMrzHwATKzupwNcUPyK","Bad Bunny, Daddy Yankee","La Santa","Rimas Entertainment LLC",3,52,102,"522779"
49,"spotify:track:5YhEoEA8OdwNYiFIBPh6nt","Pailita, Big Cvyu","Hooka","2021 Rimas Entertainment Mexico. S.A de C.V",46,46,8,"521168"
50,"spotify:track:4HzqWEdAbzcVFDv0pvxV4w","Maluma","Sobrio","Sony Music Latin",14,47,31,"519793"
51,"spotify:track:4vv8wcnT04GHHbUCFBAiHF","Randy, Ape Drums","23 (With Ape Drums)","Roses and Wine Music / One RPM",10,43,18,"491727"
52,"spotify:track:3KJ3opyV29269SXkPrc19l","Bad Bunny","120","Rimas Entertainment LLC",22,53,40,"474783"
