rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",1,22,2,"2602612"
2,"spotify:track:2vmfvSoZBFAt9hhRoEByLi","Aventura, Bad Bunny","Volví","Rimas Entertainment LLC",1,1,11,"1785041"
3,"spotify:track:3JCaq3KDSROg3TXhdiDa9n","JHAYCO, Anuel AA","Ley Seca","N&E Entertainment LLC",1,2,6,"1748632"
4,"spotify:track:1j1itFzuIbndSf6lW8L1Kx","Pailita, Marcianeke","Dimelo Ma","2024 Rimas Entertainment México S.A. de C.V",2,3,23,"1634959"
5,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",1,4,19,"1610885"
6,"spotify:track:68V31zQa7VOH4P99PMeBna","Polimá Westcoast, Pablo Chill-E, Arón Piper","Cu4tro","Sony Music Entertainment Chile S.A",4,5,6,"1464615"
7,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",1,6,15,"1427897"
8,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",3,7,14,"1298776"
9,"spotify:track:2BEcap3xJtmiPaHKyfQi4e","Rvssian, Rauw Alejandro, Chris Brown","Nostálgico","Sony Music Latin",8,8,5,"1240134"
10,"spotify:track:2KcNrONbZ0hvBPjvrDO2tx","Myke Towers","ALMAS GEMELAS","WEA Latina",8,9,12,"1180756"
11,"spotify:track:05bfbizlM5AX6Mf1RRyMho","Nio Garcia, J Balvin, Bad Bunny","AM Remix","Flow La Movie",2,10,16,"1174738"
12,"spotify:track:7iqOIHHEmu6Vhw25GgQ2eA","J Balvin, Sech","Una Nota","Sueños Globales, LLC",8,11,5,"1139486"
