Fecha;Medio;Año;Posición;Artista;Canción;Nacionalidad;Genero
Enero;Radio;2024;1;Myke Towers;Lala;PR;Urbano
Enero;Radio;2024;2;Dua Lipa;Houdini;GB;Pop
Enero;Radio;2024;3;Tree Adams;Sippin' Sazerac;Desconocido;Otro
Enero;Radio;2024;4;Emilia & Tini;La_Original.Mp3 por;SE;Urbano
Enero;Radio;2024;5;Karol G;MI EX TENÍA RAZÓN;CO;Urbano
Enero;Radio;2024;6;Miley Cyrus;Flowers;US;Pop
Enero;Radio;2024;7;"Maria Becerra; Chencho Corleone; Ovy On The Drums";Piscina ;"AR; PR; CO";Urbano
Enero;Radio;2024;8;Quevedo;Columbia;ES;Urbano
Enero;Radio;2024;9;"Bizarrap; Shakira";"Shakira: Bzrp Music Sessions; Vol. 53 por";"AR; CO";Urbano
Enero;Radio;2024;10;Harry Styles;As It Was;GB;Pop
Enero;Radio;2024;11;The Weeknd;Blinding Lights;CA;Pop
Enero;Radio;2024;12;Manuel Turizo;La Bachata;CO;Urbano
Enero;Radio;2024;13;Dua Lipa;Dance The Night;GB;Pop
Enero;Radio;2024;14;"Lit Killah; Tiago Pzk; Maria Becerra; Duki; Emilia";Los Del Espacio ;"AR; AR; SE";Urbano
Enero;Radio;2024;15; Myke Towers;La Falda;PR;Urbano
Enero;Radio;2024;16;Rauw Alejandro & Bizarrap;Baby Hello;PR;Urbano
Enero;Radio;2024;17;"Karol G; Peso Pluma";Qlona ;"CO; MX";Urbano
Enero;Radio;2024;18;"Big One; Ke Personajes; Fmk";Un Finde;"AR; AR; AR";Urbano
Enero;Radio;2024;19; Iñigo Quintero;Si No Estas;ES;Pop
Enero;Radio;2024;20;María José Quintanilla;Fue Dificil;CL;Pop
Enero;Radio;2024;21;"Feid; Rema";Bubalu;"CO; NG";Urbano
Enero;Radio;2024;22; Maluma & Carin Leon;Según Quién;CO;Urbano
Enero;Radio;2024;23;Tate Mcrae;Greedy;CA;Pop
Enero;Radio;2024;24; Chayanne;Bailando Bachata;PR;Pop
Enero;Radio;2024;25;Alok X Ella Eyre X Kenny Dope Feat. Never Dull;Deep Down;GB;Electronica
Enero;Radio;2024;26;" Eslabon Armado; Peso Pluma";Ella Baila Sola ;"US; MX";Latino/Tropical
Enero;Radio;2024;27;Rosalía;Despechá;ES;Pop
Enero;Radio;2024;28;" Feid; Atl Jacob";Luna ;CO;Urbano
Enero;Radio;2024;29;"Grupo Frontera; Ke Personajes";Ojitos Rojos;AR;Latino/Tropical
Enero;Radio;2024;30;Sebastián Yatra Junto A Manuel Turizo Y Beéle;Vagabundo;CO;Pop
Enero;Radio;2024;31;"Grupo Frontera; Bad Bunny";Un X100to ;PR;Latino/Tropical
Enero;Radio;2024;32;"Santaferia; Los Vasquez & Arte Elegante";Malamor;GB;Urbano
Enero;Radio;2024;33;Taylor Swift;Anti-Hero;US;Pop
Enero;Radio;2024;34; Rosalía & Rauw Alejandro;Beso;ES;Pop
Enero;Radio;2024;35;Marta Sánchez;Arena Y Sol;ES;Pop
Enero;Radio;2024;36;" Peso Pluma; Anitta";Bellakeo ;"MX; BR";Urbano
Enero;Radio;2024;37;Ed Sheeran;Shape Of You;GB;Pop
Enero;Radio;2024;38;"Play-N-Skillz; Gente De Zona; Dale Pututi";Somos Latinos ;"US; CU";Urbano
Enero;Radio;2024;39;"Rema; Selena Gomez";Calm Down (With Selena Gomez) ;"NG; US";Pop
Enero;Radio;2024;40;The Weeknd;Take My Breath;CA;Pop
Enero;Radio;2024;41; Santa Feria Ft Zumbale Primo;Que Te Vaya Bien ;CL;Latino/Tropical
Enero;Radio;2024;42;Garras De Amor;Bonita ;AR;Latino/Tropical
Enero;Radio;2024;43;Sebastián Yatra;Tacones Rojos;CO;Pop
Enero;Radio;2024;44;Alanys Lagos;Modo Avión;CL;Latino/Tropical
Enero;Radio;2024;45; Los Tres;He Barrido El Sol;CL;Pop
Enero;Radio;2024;46;Magan Presents;Verano Azul;RD;Pop
Enero;Radio;2024;47;Grupo Quetzal;El Condor Pasa;MX;Folk/Indie
Enero;Radio;2024;48; Danny Ocean;No Te Enamores De El;US;Pop
Enero;Radio;2024;49; Mon Laferte;Tu Falta De Querer;MX;Pop
Enero;Radio;2024;50;"Katteyes; Kidd Voodoo";Tas Texteandome ;CL;Urbano
Enero;Radio;2024;51;Selena Gomez;Single Soon;US;Pop
Enero;Radio;2024;52;Sophie Ellis-Bextor;Murder On The Dancefloor;GB;Pop
Enero;Radio;2024;53; Harry Styles;Watermelon Sugar;GB;Pop
Enero;Radio;2024;54; Luck Ra & Bm;La Morocha;US;Urbano
Enero;Radio;2024;55;Dua Lipa;Love Again;GB;Pop
Enero;Radio;2024;56;Los Bunkers;Bailando Solo;CL;Rock
Enero;Radio;2024;57;"Los Ángeles Azúles; Maria Becerra";El Amor De Mi Vida ;"MX; AR";Latino/Tropical
Enero;Radio;2024;58;Fabiana Cantilo;Mi Enfermedad;AR;Rock
Enero;Radio;2024;59; Los Tres;El Aval;CL;Rock
Enero;Radio;2024;60;Pharrell Williams;Happy;US;Pop
Enero;Radio;2024;61;"Elton John; Dua Lipa";Cold Heart (PNAU Remix) ;"GB; GB";Pop
Enero;Radio;2024;62;Enrique Iglesias & Maria Becerra;Asi Es La Vida;ES;Pop
Enero;Radio;2024;63;Santaferia;Algún Día Volveras Volverás;CL;Latino/Tropical
Enero;Radio;2024;64;"Ryan Castro; Peso Pluma & Sog";Quema ;"CO; MX";Urbano
Enero;Radio;2024;65;Shakira Y Ozuna;Monotonía;CO;Pop
Enero;Radio;2024;66; Rauw Alejandro;Diluvio;PR;Urbano
Enero;Radio;2024;67;Taylor Swift;Cruel Summer;US;Pop
Enero;Radio;2024;68;Chayanne;Necesito Un Segundo;PR;Pop
Enero;Radio;2024;69;Sebastián Yatra & Guaynaa;Chica Ideal ;CO;Pop
Enero;Radio;2024;70;Bizarrap;"Quevedo: Bzrp Music Sessions; Vol. 52 ";AR;Urbano
Enero;Radio;2024;71; David Guetta ;Baby Don't Hurt Me (Extended) ;FR;Electronica
Enero;Radio;2024;72;"Calvin Harris; Sam Smith";Promises;GB;Electronica
Enero;Radio;2024;73;"Daddy Yankee; El Alfa; Lil Jon";Bombon ;"PR; DO; US";Urbano
Enero;Radio;2024;74;"Bruno Mars; Anderson .Paak; Silk Sonic";Leave The Door Open;"US; US; US";Pop
Enero;Radio;2024;75; Anitta;Mil Veces;BR;Urbano
Enero;Radio;2024;76;Karen Paola;Dime (Versión Karen Paola);CL;Pop
Enero;Radio;2024;77;"Karol G; Shakira";TQG;"CO; CO";Urbano
Enero;Radio;2024;78; Farruko;Pepas;PR;Urbano
Enero;Radio;2024;79;Halcones Negros;Mix Halcones Negros: Homenaje / Si Vives Conmigo ;CL;Latino/Tropical
Enero;Radio;2024;80;"Gino Mella; Jairo Vera";El Amor De Tu Vida;CL;Urbano
Enero;Radio;2024;81;Dua Lipa;Don't Start Now;GB;Pop
Enero;Radio;2024;82;Ed Sheeran;Bad Habits;GB;Pop
Enero;Radio;2024;83;"Rusherking; Marama";Besos Con Fernet;"AR; UY";Urbano
Enero;Radio;2024;84;Café Tacvba;Eres;MX;Rock
Enero;Radio;2024;85;Yng Lvcas X Peso Pluma;LA BEBE REMIX;MX;Urbano
Enero;Radio;2024;86;Daft Punk;Get Lucky Feat. Pharrell Williams;FR;Electronica
Enero;Radio;2024;87;Jordan;¡Celebramos!;US;Latino/Tropical
Enero;Radio;2024;88;"Reik; Carin Leon";El Correcto ;"MX; MX";Pop
Enero;Radio;2024;89;Camilo & Camila Cabello;Ambulancia ;ES;Pop
Enero;Radio;2024;90;Rauw Alejandro;Todo De Ti;PR;Urbano
Enero;Radio;2024;91; Ozuna;Baccarat;PR;Urbano
Enero;Radio;2024;92;Harry Styles;Late Night Talking;GB;Pop
Enero;Radio;2024;93;BACILOS;Caraluna;US;Pop
Enero;Radio;2024;94; Juan Luis Guerra;El Costo De La Vida ;DO;Latino/Tropical
Enero;Radio;2024;95;Jere Klein / Gittobeatz;Ando ;CL;Urbano
Enero;Radio;2024;96;Amar Azul;Yo Me Enamoré;CL;Latino/Tropical
Enero;Radio;2024;97;Adele;Easy On Me;GB;Pop
Enero;Radio;2024;98; Paloma Mami;No Te Enamores;US;Urbano
Enero;Radio;2024;99; Karol G;Amargura;CO;Urbano
Enero;Radio;2024;100;Dua Lipa;Break My Heart;GB;Pop
Febrero;Radio;2024;1;Dua Lipa;Houdini;GB;Pop
Febrero;Radio;2024;2; Emilia & Tini;La_Original.Mp3 ;SE;Urbano
Febrero;Radio;2024;3;"Maria Becerra; Chencho Corleone; Ovy On The Drums";Piscina;"AR; PR; CO";Urbano
Febrero;Radio;2024;4;Myke Towers;La Falda;PR;Urbano
Febrero;Radio;2024;5;Karol G;MI EX TENÍA RAZÓN;CO;Urbano
Febrero;Radio;2024;6;Ariana Grande;"Yes; And?";US;Pop
Febrero;Radio;2024;7;Myke Towers;Lala;PR;Urbano
Febrero;Radio;2024;8;Miley Cyrus;Flowers;US;Pop
Febrero;Radio;2024;9;"Feid; Atl Jacob";Luna ;CO;Urbano
Febrero;Radio;2024;10;"Bizarrap; Shakira";"Shakira: Bzrp Music Sessions; Vol. 53";"AR; CO";Urbano
Febrero;Radio;2024;11;Mana;Oye Mi Amor (Remasterizado);MX;Rock
Febrero;Radio;2024;12; Manuel Turizo;La Bachata;CO;Pop
Febrero;Radio;2024;13;The Weeknd;Blinding Lights;CA;Pop
Febrero;Radio;2024;14;Dua Lipa;Dance The Night;GB;Pop
Febrero;Radio;2024;15;Harry Styles;As It Was;GB;Pop
Febrero;Radio;2024;16;Charles & Eddie;Would I Lie To You? ;US;Pop
Febrero;Radio;2024;17;Quevedo;Columbia;ES;Urbano
Febrero;Radio;2024;18;Rauw Alejandro & Bizarrap;Baby Hello ;PR;Urbano
Febrero;Radio;2024;19; Iñigo Quintero;Si No Estas;ES;Pop
Febrero;Radio;2024;20;"Eslabon Armado; Peso Pluma";Ella Baila Sola;"US; MX";Latino/Tropical
Febrero;Radio;2024;21;Chayanne;Necesito Un Segundo;PR;Pop
Febrero;Radio;2024;22;Los Bunkers;Bailando Solo;CL;Rock
Febrero;Radio;2024;23;Alok X Ella Eyre X Kenny Dope Feat. Never Dull;Deep Down ;GB;Electronica
Febrero;Radio;2024;24;Princesa Alba;Moonlight;CL;Urbano
Febrero;Radio;2024;25;"Katteyes; Kidd Voodoo";Tas Texteandome ;CL;Urbano
Febrero;Radio;2024;26;"Lit Killah; Tiago Pzk; Maria Becerra; Duki; Emilia";Los Del Espacio ;"AR; AR; SE";Urbano
Febrero;Radio;2024;27;Luis Miguel;Cuando Calienta El Sol;MX;Latino/Tropical
Febrero;Radio;2024;28; Mr. Mister;Broken Wings;US;Rock
Febrero;Radio;2024;29;"Karol G; Peso Pluma";Qlona ;"CO; MX";Urbano
Febrero;Radio;2024;30;María José Quintanilla;Fue Dificil ;CL;Latino/Tropical
Febrero;Radio;2024;31;Garras De Amor;Bonita ;AR;Latino/Tropical
Febrero;Radio;2024;32;"Peso Pluma; Anitta";Bellakeo ;"MX; BR";Urbano
Febrero;Radio;2024;33;Chayanne;Bailando Bachata;PR;Pop
Febrero;Radio;2024;34;"Big One; Ke Personajes; Fmk";Un Finde ;"AR; AR; AR";Urbano
Febrero;Radio;2024;35;Young Cister;La Terapia;CL;Urbano
Febrero;Radio;2024;36;Foreigner;I Want To Know What Love Is (Remastered LP Version;US;Rock
Febrero;Radio;2024;37;Taylor Swift;Anti-Hero;US;Pop
Febrero;Radio;2024;38;The Weeknd;Take My Breath;CA;Pop
Febrero;Radio;2024;39; Mark Ronson ;God Put A Smile On Your Face ;GB;Rock
Febrero;Radio;2024;40;Grupo Quetzal;El Condor Pasa;MX;Folk/Indie
Febrero;Radio;2024;41;"Sebastián Yatra; Manuel Turizo ";Vagabundo;"CO; CO";Pop
Febrero;Radio;2024;42;Rosalía;Despechá;ES;Latino/Tropical
Febrero;Radio;2024;43;Antonio José Y Denise Rosenthal;Ya Se Me Olvido;"ES; CL";Latino/Tropical
Febrero;Radio;2024;44;Maluma & Carin Leon;Según Quién ;CO;Urbano
Febrero;Radio;2024;45;Anitta;Mil Veces;BR;Urbano
Febrero;Radio;2024;46;"Play-N-Skillz; Gente De Zona; Dale Pututi";"Somos Latinos por Play-N-Skillz; Gente De";"US; CU";Latino/Tropical
Febrero;Radio;2024;47;Santaferia;Algún Día Volveras;CL;Latino/Tropical
Febrero;Radio;2024;48;Mon Laferte;Tu Falta De Querer;MX;Pop
Febrero;Radio;2024;49;"Grupo Frontera; Ke Personajes";Ojitos Rojos ;AR;Latino/Tropical
Febrero;Radio;2024;50;Pharrell Williams;Happy;US;Pop
Febrero;Radio;2024;51;Ed Sheeran;Shape Of You;GB;Pop
Febrero;Radio;2024;52;Luck Ra & Bm;La Morocha ;US;Urbano
Febrero;Radio;2024;53;Sophie Ellis-Bextor;Murder On The Dancefloor;GB;Pop
Febrero;Radio;2024;54;Sebastián Yatra & Guaynaa;Chica Ideal ;CO;Pop
Febrero;Radio;2024;55; Santa Feria Ft Zumbale Primo; Que Te Vaya Bien;CL;Latino/Tropical
Febrero;Radio;2024;56;Pablo Alborán;Saturno;ES;Pop
Febrero;Radio;2024;57;Rauw Alejandro;Diluvio;PR;Urbano
Febrero;Radio;2024;58;Christell;Dubidubidu;CL;Pop
Febrero;Radio;2024;59;Karol G Y Tiësto;Contigo;CO;Urbano
Febrero;Radio;2024;60; Rosalía & Rauw Alejandro;Beso ;ES;Pop
Febrero;Radio;2024;61;Kali Uchis;Igual Que Un Ángel (With Peso Pluma) ;US;Pop
