Fecha;Medio;Año;Posición;Artista;Canción;Nacionalidad;Genero
Enero;Spotify;2022;1;Standly;Pégate;CL;Urbano
Enero;Spotify;2022;2;Rauw Alejandro, Chencho Corleone;Desesperados;PR, PR;Urbano
Enero;Spotify;2022;3;Standly, El Barto;Mi Gata;CL, CL;Urbano
Enero;Spotify;2022;4;Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile;Los Malvekes;CL, CL;Urbano
Enero;Spotify;2022;5;Tainy, Bad Bunny, Julieta Venegas;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);PR, PR, MX;Urbano
Enero;Spotify;2022;6;Bad Bunny;Yonaguni;PR;Urbano
Enero;Spotify;2022;7;Blessd, Justin Quiles, Lenny Tavárez;Medallo;CO, PR, PR;Urbano
Enero;Spotify;2022;8;Boza, Lunay, Lenny Tavárez, Juhn, Beéle;Ella - Remix;PA, PR, PR, PR, CO;Urbano
Enero;Spotify;2022;9;JOSEPE EL DEMENTE, Sayian Jimmy;Morena Cachetona;CL, CL;Urbano
Enero;Spotify;2022;10;Marcianeke;Qué Pasa?;CL;Urbano
Enero;Spotify;2022;11;Cris Mj;Una Noche en Medellín;CL;Urbano
Enero;Spotify;2022;12;Aventura, Bad Bunny;Volví;US, PR;Latino/Tropical
Enero;Spotify;2022;13;Polimá Westcoast, Pablo Chill-E, Harry Nach, Galee Galee, ITHAN NY;MONEYMAN (feat. Galee Galee & ITHAN NY);CL, CL, CL, CL;Urbano
Enero;Spotify;2022;14;Anuel AA, Myke Towers, JHAYCO;Súbelo;PR, PR, PR;Urbano
Enero;Spotify;2022;15;Young Cister;Casi Amor De Verano;CL;Urbano
Enero;Spotify;2022;16;JHAYCO, Anuel AA;Ley Seca;PR, PR;Urbano
Enero;Spotify;2022;17;Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole;Entre Nosotros (Remix) [con Nicki Nicole];AR, AR, AR;Urbano
Enero;Spotify;2022;18;Pailita, Marcianeke;Dimelo Ma;CL;Urbano
Enero;Spotify;2022;19;Bizarrap, Tiago PZK;Tiago PZK: Bzrp Music Sessions, Vol. 48;AR, AR;Urbano
Enero;Spotify;2022;20;Rvssian, Rauw Alejandro, Chris Brown;Nostálgico;JM, PR, US;Urbano
Enero;Spotify;2022;21;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;GB, GB, AU;Pop
Enero;Spotify;2022;22;zzoilo, Aitana;Mon Amour - Remix;ES, ES;Pop
Enero;Spotify;2022;23;Alvaro Diaz, Rauw Alejandro;Problemón;PR, PR;Urbano
Enero;Spotify;2022;24;Nickoog Clk, Izahn, Standly;Mi Waxita;CL, CL;Urbano
Enero;Spotify;2022;25;ITHAN NY, Marcianeke;Las Naik;CL, CL;Urbano
Enero;Spotify;2022;26;Mora, Bad Bunny, Sech;Volando - Remix;SE, PR, PA;Urbano
Enero;Spotify;2022;27;Cris Mj;Locura y Maldad;CL;Urbano
Enero;Spotify;2022;28;Bad Bunny, JHAYCO;DÁKITI;PR, PR;Urbano
Enero;Spotify;2022;29;El Barto, El Jordan 23, Standly, Drakomafia, Yong Bryel;Flaytiando;CL, CL, CL, CL. CL;Urbano
Enero;Spotify;2022;30;Tiago PZK, Trueno;Salimo de Noche;AR, AR;Urbano
Enero;Spotify;2022;31;Adan La Amenaza, Yohancito, Marcianeke, El BAI, Pailita, Yordano El Menor, Balbi El Chamako, Jairo Vera, King Savagge;Dele Cotele 3;CL, CL, CL;Urbano
Enero;Spotify;2022;32;TINI, L-Gante;Bar;AR;Urbano
Enero;Spotify;2022;33;Arte Elegante, Marcianeke;En las Malas y Buenas;CL;Urbano
Enero;Spotify;2022;34;Harry Nach, Marcianeke;¿Por Qué Te Enojái?;CL;Urbano
Enero;Spotify;2022;35;Randy, Ape Drums;23 (With Ape Drums);US, US;Urbano
Enero;Spotify;2022;36;Farruko;Pepas;PR;Urbano
Enero;Spotify;2022;37;Polimá Westcoast, Pablo Chill-E, Arón Piper;Cu4tro;CL, CL;Urbano
Enero;Spotify;2022;38;Dímelo Flow, Dalex, Sech, Justin Quiles, Arcángel, De La Ghetto, Lenny Tavárez;Se Le Ve;PA, PR, PA, PR, PR, PR, PR;Urbano
Enero;Spotify;2022;39;Myke Towers;ALMAS GEMELAS;PR;Urbano
Enero;Spotify;2022;40;J Balvin, Sech;Una Nota;CO, PA;Urbano
Enero;Spotify;2022;41;Nio Garcia, J Balvin, Bad Bunny;AM Remix;PR, CO, PR;Urbano
Enero;Spotify;2022;42;Rauw Alejandro;Todo De Ti;PR;Urbano
Enero;Spotify;2022;43;Drago200, Ak4:20;TOTA;CL;Urbano
Enero;Spotify;2022;44;Maluma;Sobrio;CO;Urbano
Enero;Spotify;2022;45;Trueno;DANCE CRIP;AR;Urbano
Enero;Spotify;2022;46;Balbi El Chamako, Marcianeke, El BAI;Ponle;CL, CL, CL;Urbano
Enero;Spotify;2022;47;Rauw Alejandro;Cúrame;PR;Urbano
Enero;Spotify;2022;48;TINI, Maria Becerra;Miénteme;AR, AR;Pop
Enero;Spotify;2022;49;Bad Bunny;A Tu Merced;PR;Urbano
Enero;Spotify;2022;50;Tiago PZK, LIT killah;Entre Nosotros;AR;Urbano
Enero;Spotify;2022;51;Pailita, Big Cvyu;Hooka;CL, CL, CL;Urbano
Enero;Spotify;2022;52;Galee Galee, Harry Nach, Pablo Chill-E;Big Cut;CL, CL;Urbano
Enero;Spotify;2022;53;KAROL G;SEJODIOTO;CO;Urbano
Enero;Spotify;2022;54;Sebastian Yatra, Myke Towers;Pareja Del Año;CO, PR;Urbano
Enero;Spotify;2022;55;Sebastian Yatra;Tacones Rojos;CO;Urbano
Enero;Spotify;2022;56;Bad Bunny;120;PR;Urbano
Enero;Spotify;2022;57;CKay, Dj Yo!, AX'EL;love nwantiti (feat. Dj Yo! & AX'EL) - Remix;NG, MU;Latino/Tropical
Enero;Spotify;2022;58;Imagine Dragons, JID, Arcane, League of Legends;Enemy (with JID) - from the series Arcane League of Legends;US, US, GB;Pop
Enero;Spotify;2022;59;J Balvin, Maria Becerra;Qué Más Pues?;CO, AR;Urbano
Enero;Spotify;2022;60;Duki, Ak4:20, Juhn, Juanka;BICI;PR, PR;Urbano
Enero;Spotify;2022;61;El Jordan 23;Anti Rana;CL;Urbano
Enero;Spotify;2022;62;Wisin, JHAYCO, Ozuna, Los Legendarios;Emojis de Corazones (feat. Los Legendarios);PR, PR, PR, PR;Urbano
Enero;Spotify;2022;63;Rauw Alejandro;Sexo Virtual;PR;Urbano
Enero;Spotify;2022;64;Bad Bunny, Daddy Yankee;La Santa;PR, PR;Urbano
Enero;Spotify;2022;65;Don Omar, Nio Garcia;Se Menea;PR, PR;Urbano
Enero;Spotify;2022;66;Justin Quiles;Colorín Colorado;PR;Urbano
Enero;Spotify;2022;67;Tiësto, KAROL G;Don't Be Shy;NL, CO;Urbano
Enero;Spotify;2022;68;Bad Bunny, ROSALÍA;LA NOCHE DE ANOCHE;PR, ES;Urbano
Enero;Spotify;2022;69;Pablo Alborán;Saturno;ES;Pop
