Fecha;Medio;Año;Posición;Artista;Canción;Nacionalidad;Genero
Enero;Radio;2023;1;"Bizarrap; Shakira";Shakira: Bzrp Music Sessions;"AR; CO";Urbano
Enero;Radio;2023;2;Manuel Turizo;La Bachata;CO;Urbano
Enero;Radio;2023;3; Rosalía;Despechá;ES;Pop
Enero;Radio;2023;4;Harry Styles;As It Was;GB;Pop
Enero;Radio;2023;5;Bizarrap;"Quevedo: Bzrp Music Sessions; Vol. 52";AR;Urbano
Enero;Radio;2023;6;Il Volo;Turandot:Nessun Dorma;IT;Otro
Enero;Radio;2023;7;Ozuna;Hey Mor;PR;Urbano
Enero;Radio;2023;8;Taylor Swift;Anti-Hero;US;Pop
Enero;Radio;2023;9;Shakira Y Ozuna;Monotonía;CO;Pop
Enero;Radio;2023;10;"Rema; Selena Gomez";Calm Down;"NG; US";Pop
Enero;Radio;2023;11;Harry Styles;Late Night Talking;GB;Pop
Enero;Radio;2023;12;" Bunny; Bomba Estéreo";Ojitos Lindos;"JM; CO";Urbano
Enero;Radio;2023;13;Elton John & Britney Spears;Hold Me Closer;GB;Pop
Enero;Radio;2023;14;Lizzo;About Damn Time;US;Pop
Enero;Radio;2023;15;Camilo;Aeropuerto;ES;Pop
Enero;Radio;2023;16;Bad Bunny;Tití Me Preguntó;PR;Urbano
Enero;Radio;2023;17;"Polimá Westcoast; Pailita; Feid; Paloma Mami";ULTRASOLO;"CL; CO; US";Urbano
Enero;Radio;2023;18;Pablo Alborán;Amigos ;ES;Pop
Enero;Radio;2023;19;"Elton John; Dua Lipa";Cold Heart (PNAU Remix);"GB; GB";Pop
Enero;Radio;2023;20;Los Prisioneros;Tren Al Sur;CL;Rock
Enero;Radio;2023;21;"Quevedo; Myke Towers";Playa Del Ingles;PR;Pop
Enero;Radio;2023;22;Shakira & Rauw Alejandro;Te Felicito ;CO;Pop
Enero;Radio;2023;23;Charles & Eddie;Would I Lie To You?;US;Pop
Enero;Radio;2023;24;The Weeknd;Blinding Lights;CA;Pop
Enero;Radio;2023;25;Lizzo;Be Loved (Am I Ready);US;Pop
Enero;Radio;2023;26;Santa Feria Ft Zumbale Primo;Que Te Vaya Bien;CL;Latino/Tropical
Enero;Radio;2023;27;Maluma;Junio;CO;Urbano
Enero;Radio;2023;28;Sebastián Yatra;Tacones Rojos;CO;Pop
Enero;Radio;2023;29;Miley Cyrus;Flowers;US;Pop
Enero;Radio;2023;30;Harry Styles;Watermelon Sugar;GB;Pop
Enero;Radio;2023;31;"Calvin Harris; Justin Timberlake; Halsey & Pharrell Williams";Stay With Me;"US; US";Electronica
Enero;Radio;2023;32;Young Cister;Ganas;CL;Urbano
Enero;Radio;2023;33;Denise Rosenthal;Lucha En Equilibrio;CL;Pop
Enero;Radio;2023;34;Beyoncé;CUFF IT;US;Pop
Enero;Radio;2023;35;Young Cister;La Terapia;CL;Urbano
Enero;Radio;2023;36;"Paloma Mami; Pailita & El Jordan 23";Síntomas De Soltera;US;Urbano
Enero;Radio;2023;37;Mon Laferte;Tu Falta De Querer;MX;Pop
Enero;Radio;2023;38;Rauw Alejandro;Punto 40;PR;Urbano
Enero;Radio;2023;39;Chayanne;Como Tu Y Yo;PR;Pop
Enero;Radio;2023;40;Xian;Perreo Pa Los Flaites;CL;Urbano
Enero;Radio;2023;41;Nicole;Hoy;DE;Rock
Enero;Radio;2023;42;Paloma Mami;No Te Enamores;US;Urbano
Enero;Radio;2023;43;Bellakath;Gatita;MX;Urbano
Enero;Radio;2023;44;Los Vasquez;Cumbia Cumbia Cumbia;CL;Latino/Tropical
Enero;Radio;2023;45;Mon Laferte;Amárrame Feat. Juanes;MX;Pop
Enero;Radio;2023;46;"Cris Mj; Tiago Pzk";Fiera ;"CL; AR";Urbano
Enero;Radio;2023;47;" Lola Indigo; Luis Fonsi";Corazones Rotos;"ES; PR";Pop
Enero;Radio;2023;48;"Pailita; Big Cvyu";Na Na Na;CL;Urbano
Enero;Radio;2023;49;Camilo;Pegao;ES;Pop
Enero;Radio;2023;50;Pedro Fernandes;Yo No Fui;MX;Latino/Tropical
Enero;Radio;2023;51; Ed Sheeran;Shape Of You;GB;Pop
Enero;Radio;2023;52;Ed Sheeran;Bad Habits;GB;Pop
Enero;Radio;2023;53;"Polimá Westcoast; Quevedo; Mora";LACONE;"CL; SE";Urbano
Enero;Radio;2023;54;"Pablo Pesadilla; Polimá Westcoast; Nickoog ";BABY OTAKU;CL;Urbano
Enero;Radio;2023;55;Denise Rosenthal; Centenas De Miles De Años;CL;Pop
Enero;Radio;2023;56;" Bruno Mars; Anderson .Paak";Leave The Door Open;"US; US";Pop
Enero;Radio;2023;57;Dua Lipa;LEVITATING;GB;Pop
Enero;Radio;2023;58;Dua Lipa;Love Again;GB;Pop
Enero;Radio;2023;59;Dj Baladas Romanticas;Baladas Románticas Para Trabajar;Desconocido;Otro
Enero;Radio;2023;60;Luis Fonsi Feat. Demi Lovato;Echame La Culpa;PR;Pop
Enero;Radio;2023;61;Juanes;Amores Prohibidos;CO;Pop
Enero;Radio;2023;62;Reggaeton Boys;Otra Noche;CL;Urbano
Enero;Radio;2023;63;"David Guetta; Bebe Rexha";I´M Good(Blue);"FR; US";Electronica
Enero;Radio;2023;64;Rauw Alejandro;Todo De Ti;PR;Urbano
Enero;Radio;2023;65;" Daddy Yankee; Myke Towers";Ulala;"PR; PR";Urbano
Enero;Radio;2023;66;Dua Lipa;Dont Start Now;GB;Pop
Enero;Radio;2023;67;Nicki Nicole;Frío;AR;Urbano
Enero;Radio;2023;68; Tones And I;Dance Monkey;AU;Pop
Enero;Radio;2023;69;"The Rudeboyz; Maluma & Adam Levine";Ojala;"CO; CO";Urbano
Enero;Radio;2023;70;"Cris Mj; Standly";Marisola;CL;Urbano
Enero;Radio;2023;71;Farruko;Pepas;PR;Urbano
Enero;Radio;2023;72;" Zzoilo; Aitana";Mon Amour ;"ES; ES";Pop
Enero;Radio;2023;73;"Karol G; Ovy On The Drums";Cairo;"CO; CO";Urbano
Enero;Radio;2023;74;Charlie Puth (Ft. Jungkook Of Bts);Left And Right;US;Pop
Enero;Radio;2023;75;Los Tres;La Torre;CL;Rock
Enero;Radio;2023;76;Daddy Yankee;RUMBATON;PR;Urbano
Enero;Radio;2023;77;Pharrell Williams;Happy;US;Pop
Enero;Radio;2023;78;Pailita;Parcera;CL;Urbano
Enero;Radio;2023;79;Paloma Mami;Fingías;US;Urbano
Enero;Radio;2023;80;Cris Mj;Marisola;CL;Urbano
Enero;Radio;2023;81;Gente De Zona Feat. Marc Anthony;La Gozadera;CU;Latino/Tropical
