"Fecha","Medio","Posición","Artista","Canción","Nacionalidad","Genero"
"ene-23","Spotify","1","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","AR, CO","Urbano"
"ene-23","Spotify","2","Pailita, Cris Mj, Young Cister","Llámame Bebé","CL","Urbano"
"ene-23","Spotify","3","Yandel, Feid","Yandel 150","PR, CO","Urbano"
"ene-23","Spotify","4","Ozuna, Feid","Hey Mor","PR, CO","Urbano"
"ene-23","Spotify","5","Miley Cyrus","Flowers","US","Pop"
"ene-23","Spotify","6","Manuel Turizo","La Bachata","CO","Urbano"
"ene-23","Spotify","7","Jere Klein, Lucky Brown","Mandame Tu Ubi","CL","Urbano"
"ene-23","Spotify","8","Arcángel, Bad Bunny","La Jumpa","PR, PR","Urbano"
"ene-23","Spotify","9","Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","Marisola - Remix","CL, AR","Urbano"
"ene-23","Spotify","10","Harry Nach, Cris Mj, Pablo Chill-E, Polimá Westcoast, Aqua VS, Tom fomt, Kreamly, Nikxz","LOKOTRON REMIX","CL, CL, CL","Urbano"
"ene-23","Spotify","11","Marcianeke, Jere Klein, Gold Music","Muñeca","CL, CL","Urbano"
"ene-23","Spotify","12","Ñengo Flow, Bad Bunny","Gato de Noche","PR, PR","Urbano"
"ene-23","Spotify","13","Balbi El Chamako, Jere Klein","Ese Corte","CL, CL","Urbano"
"ene-23","Spotify","14","Quevedo","PUNTO G","ES","Urbano"
"ene-23","Spotify","15","Feid","Feliz Cumpleaños Ferxxo","CO","Urbano"
"ene-23","Spotify","16","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","AR","Urbano"
"ene-23","Spotify","17","Cris Mj, Pablo Chill-E","Como Tu Ninguna - Remix","CL, CL","Urbano"
"ene-23","Spotify","18","King Savagge, Ak4:20, Paloma Mami","NOPALATELE","US","Urbano"
"ene-23","Spotify","19","Pailita","Parcera","CL","Urbano"
"ene-23","Spotify","20","Young Cister, Taiko","DEBI LLEVARTE FLORES","CL","Urbano"
"ene-23","Spotify","21","Quevedo","VISTA AL MAR","ES","Urbano"
"ene-23","Spotify","22","Jere Klein, ITHAN NY","Los Diablotes","CL, CL","Urbano"
"ene-23","Spotify","23","Feid","CHORRITO PA LAS ANIMAS","CO","Urbano"
"ene-23","Spotify","24","Pailita, El Jordan 23, Noriel, Pablo Chill-E","Na Na Na - Remix","PR, CL","Urbano"
"ene-23","Spotify","25","Bad Bunny","Efecto","PR","Urbano"
"ene-23","Spotify","26","KAROL G, Ovy On The Drums","CAIRO","CO, CO","Urbano"
"ene-23","Spotify","27","Bad Bunny, Chencho Corleone","Me Porto Bonito","PR, PR","Urbano"
"ene-23","Spotify","28","ITHAN NY, Tunechikidd, Nickoog Clk","TU DIABLO","CL","Urbano"
"ene-23","Spotify","29","Julianno Sosa, Young Cister","GANAS","CL","Urbano"
"ene-23","Spotify","30","Shakira, Ozuna","Monotonía","CO, PR","Pop"
"ene-23","Spotify","31","Feid","Normal","CO","Urbano"
"ene-23","Spotify","32","Stars Music Chile, Cris Mj, Standly","Marisola","CL","Urbano"
"ene-23","Spotify","33","Jairo Vera, Darkiel, Gino Mella, Best, Bayriton","ADICTO (feat. Best, Bayriton)","PR","Urbano"
"ene-23","Spotify","34","Feid, Ak4:20, Taiko","Malibu","CO","Urbano"
"ene-23","Spotify","35","Jairo Vera","PA K TE ENAMORE","CL","Urbano"
"ene-23","Spotify","36","Rauw Alejandro, Lyanno, Brray","LOKERA","PR, PR, PR","Urbano"
"ene-23","Spotify","37","Polimá Westcoast, Quevedo, Mora","LACONE","CL, SE","Urbano"
"ene-23","Spotify","38","El Punto40, Marcianeke","Mini Mini","CL","Urbano"
"ene-23","Spotify","39","Bad Bunny, Bomba Estéreo","Ojitos Lindos","PR, CO","Urbano"
"ene-23","Spotify","40","Wisin & Yandel, ROSALÍA","Besos Moja2","PR, ES","Urbano"
"ene-23","Spotify","41","Rauw Alejandro, Baby Rasta","PUNTO 40","PR, PR","Urbano"
"ene-23","Spotify","42","ROSALÍA","DESPECHÁ","ES","Pop"
"ene-23","Spotify","43","Quevedo, Myke Towers","PLAYA DEL INGLÉS","PR","Urbano"
"ene-23","Spotify","44","Cris Mj, Tiago PZK","Fiera","CL, AR","Urbano"
"ene-23","Spotify","45","Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto","ULTRA SOLO REMIX","CL, CO, US, PR","Urbano"
"ene-23","Spotify","46","Bad Bunny","Tití Me Preguntó","PR","Urbano"
"ene-23","Spotify","47","Bad Bunny","Moscow Mule","PR","Urbano"
"ene-23","Spotify","48","Mora, Feid","LA INOCENTE","SE, CO","Urbano"
"ene-23","Spotify","49","Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C","BABY OTAKU","CL","Urbano"
"ene-23","Spotify","50","Bad Bunny","Neverita","PR","Urbano"
"ene-23","Spotify","51","Cris Mj","Una Noche en Medellín","CL","Urbano"
"ene-23","Spotify","52","Cris Mj, Ak4:20","Sin Seguro","CL","Urbano"
"ene-23","Spotify","53","Jairo Vera, Balbi El Chamako, Nickoog Clk, El Rey, Gringuitos Records","Te Extraño a Lo Vio (feat. El Rey & Gringuitos Records)","CL","Urbano"
"ene-23","Spotify","54","Harry Styles","As It Was","GB","Pop"
"ene-23","Spotify","55","Marcianeke, Jairo Vera","Dime","CL","Urbano"
"ene-23","Spotify","56","Young Cister","LA TERAPIA","CL","Urbano"
"ene-23","Spotify","57","Shakira, Rauw Alejandro","Te Felicito","CO, PR","Pop"
"ene-23","Spotify","58","Nickoog Clk","Salimos Del Tarro","CL","Urbano"
"ene-23","Spotify","59","Julianno Sosa, Ñengo Flow, King Savagge, Ryan Castro","Cochinae (Remix)","PR, CO","Urbano"
"ene-23","Spotify","60","Pailita, Young Cister","Caminemos de la Mano","CL","Urbano"
"ene-23","Spotify","61","Nickoog Clk, Julianno Sosa","Chamaka","CL","Urbano"
