Fecha;Año;Medio;Posición;Artista;Canción;Nacionalidad;Género
ene-21;2021;Spotify;1;Myke Towers, Juhn;Bandido;PR, PR;Urbano
ene-21;2021;Spotify;2;Bad Bunny, JHAYCO;DÁKITI;PR, PR;Urbano
ene-21;2021;Spotify;3;KAROL G;BICHOTA;CO;Urbano
ene-21;2021;Spotify;4;Boza;Hecha Pa' Mi;PA;Urbano
ene-21;2021;Spotify;5;Bad Bunny, ROSALÍA;LA NOCHE DE ANOCHE;PR, ES;Urbano
ene-21;2021;Spotify;6;Rauw Alejandro, Anuel AA;Reloj;PR, PR;Urbano
ene-21;2021;Spotify;7;Nicky Jam, Myke Towers;Polvo;PR, PR;Urbano
ene-21;2021;Spotify;8;Anuel AA, Ozuna;Antes;PR, PR;Urbano
ene-21;2021;Spotify;9;Manuel Turizo, Rauw Alejandro, Myke Towers;La Nota;CO, PR, PR;Urbano
ene-21;2021;Spotify;10;Bad Bunny;TE MUDASTE;PR;Urbano
ene-21;2021;Spotify;11;Ozuna, J Balvin, Chencho Corleone;Una Locura;PR, CO, PR;Urbano
ene-21;2021;Spotify;12;Justin Quiles;Ponte Pa' Mi;PR;Urbano
ene-21;2021;Spotify;13;Farruko;La Tóxica;PR;Urbano
ene-21;2021;Spotify;14;Maluma;Hawái;CO;Urbano
ene-21;2021;Spotify;15;Wisin, Myke Towers, Los Legendarios;Mi Niña;PR, PR, PR;Urbano
ene-21;2021;Spotify;16;Justin Quiles;Jeans;PR;Urbano
ene-21;2021;Spotify;17;Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko;Relación - Remix;PA, PR, CO, ES, PR;Urbano
ene-21;2021;Spotify;18;Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy;No Te Enamores - Remix;IT, PR, PR, PR, DO;Urbano
ene-21;2021;Spotify;19;Sebastian Yatra, Guaynaa;Chica Ideal;CO, PR;Urbano
ene-21;2021;Spotify;20;Migrantes, Alico;Si Me Tomo Una Cerveza;TR;Latino/Tropical
ene-21;2021;Spotify;21;KEVIN ROLDAN, Bryant Myers, Lyanno;HASTA ABAJO;CO, PR, PR;Urbano
ene-21;2021;Spotify;22;Camilo, El Alfa;BEBÉ;ES, DO;Latino/Tropical
ene-21;2021;Spotify;23;Jay Wheeler, DJ Nelson, Myke Towers;La Curiosidad;PR, PR, PR;Urbano
ene-21;2021;Spotify;24;Camilo;Vida de Rico;CO;Latino/Tropical
ene-21;2021;Spotify;25;Ak4:20;Skyline;CL;Urbano
ene-21;2021;Spotify;26;KAROL G;Ay, DiOs Mío!;CO;Urbano
ene-21;2021;Spotify;27;J Balvin, Dua Lipa, Bad Bunny, Tainy;UN DIA (ONE DAY) (Feat. Tainy);CO, GB, PR, PR;Urbano
ene-21;2021;Spotify;28;Rauw Alejandro, Camilo;Tattoo - Remix with Camilo;PR, ES;Urbano
ene-21;2021;Spotify;29;Jay Wheeler, Myke Towers, Rauw Alejandro, DJ Nelson, JHAYCO, Lunay, Kendo Kaponi;La Curiosidad (feat. Dj Nelson, JHAYCO, Lunay & Kendo Kaponi) - Blue Grand Prix Remix;PR, PR, PR, PR, PR, PR, PR;Urbano
ene-21;2021;Spotify;30;Maluma, Lenny Tavárez, Justin Quiles;Parce (feat. Justin Quiles);CO, PR, PR;Urbano
ene-21;2021;Spotify;31;Ozuna, Camilo;Despeinada;PR, ES;Urbano
ene-21;2021;Spotify;32;Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka;La Jeepeta - Remix;PR, PR, PR, PR, PR;Urbano
ene-21;2021;Spotify;33;Anuel AA, Ozuna;Los Dioses;PR, PR;Urbano
ene-21;2021;Spotify;34;Rauw Alejandro, J Balvin;De Cora <3;PR, CO;Urbano
ene-21;2021;Spotify;35;Olivia Rodrigo;drivers license;US;Pop
ene-21;2021;Spotify;36;Lele Pons, Guaynaa;Se Te Nota (with Guaynaa);VE, PR;Latino/Tropical
ene-21;2021;Spotify;37;Flow La Movie, Nio Garcia, Casper Magico;Travesuras;PR, PR, PR;Urbano
ene-21;2021;Spotify;38;Jerry Di;Mi Cuarto;VE;Urbano
ene-21;2021;Spotify;39;Camilo;Ropa Cara;ES;Latino/Tropical
ene-21;2021;Spotify;40;JHAYCO, Bad Bunny;CÓMO SE SIENTE - Remix;PR, PR;Urbano
ene-21;2021;Spotify;41;C. Tangana, Niño de Elche, La Húngara;Tú Me Dejaste De Querer;ES, ES;Pop
ene-21;2021;Spotify;42;Yan Block, Jay Wheeler, DJ Nelson;Vete Pal Carajo;PR, PR;Urbano
ene-21;2021;Spotify;43;Bad Bunny;HACIENDO QUE ME AMAS;PR;Urbano
ene-21;2021;Spotify;44;Ozuna;Caramelo;PR;Urbano
ene-21;2021;Spotify;45;Bizarrap, NATHY PELUSO;Nathy Peluso: Bzrp Music Sessions, Vol. 36;AR, ES;Urbano
ene-21;2021;Spotify;46;Ak4:20;Rata Tan Tan;CL;Urbano
ene-21;2021;Spotify;47;J Balvin;Azul;CO;Urbano
ene-21;2021;Spotify;48;The Weeknd;Blinding Lights;CA;Pop
ene-21;2021;Spotify;49;Daddy Yankee, Anuel AA, Kendo Kaponi;Don Don;PR, PR, PR;Urbano
ene-21;2021;Spotify;50;Rauw Alejandro, Arcángel, Randy;Soy Una Gargola;PR, PR, US;Urbano
ene-21;2021;Spotify;51;Manuel Turizo, Wisin & Yandel;Mala Costumbre;CO, PR;Urbano
ene-21;2021;Spotify;52;Sech, J Balvin;La Luz;PA, CO;Urbano
ene-21;2021;Spotify;53;Lunay, Brytiago, Revol, Myke Towers, Rauw Alejandro;Fantasia Sexual;PR, PR, PR, PR;Urbano
ene-21;2021;Spotify;54;Myke Towers;Explícito;PR;Urbano
ene-21;2021;Spotify;55;Anuel AA, Ozuna;Nena Buena;PR, PR;Urbano
ene-21;2021;Spotify;56;Anuel AA, Ozuna;100;PR, PR;Urbano
ene-21;2021;Spotify;57;Bad Bunny;BOOKER T;PR;Urbano
ene-21;2021;Spotify;58;KAROL G, Nicki Minaj;Tusa;CO, US;Urbano
ene-21;2021;Spotify;59;Anuel AA, Ozuna;Municiones;PR, PR;Urbano
ene-21;2021;Spotify;60;Anuel AA, Bad Bunny;Hasta Que Dios Diga;PR, PR;Urbano
ene-21;2021;Spotify;61;Kiddtetoon, Diego Smith, Ozuna;Illuminati - Remix;PR;Urbano
ene-21;2021;Spotify;62;Brytiago, Jay Wheeler;Desnudarte;PR, PR;Urbano
ene-21;2021;Spotify;63;Bad Bunny, Daddy Yankee;La Santa;PR, PR;Urbano
ene-21;2021;Spotify;64;Anuel AA, Ozuna;Nunca;PR, PR;Urbano
ene-21;2021;Spotify;65;Anuel AA, Ozuna;RD;PR, PR;Urbano
